,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
83,1.023453950881958,0.09739695914245877,0.0012012004852294921,1.4095680634482106e-05,0.001,"(100,)",70,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 70}",0.5318066157760815,0.49236641221374045,0.5312899106002554,0.5383631713554987,0.5083226632522407,0.5204185809086268,0.017347569275265637,32,0.5306513409961686,0.5035121328224776,0.5416267942583732,0.5427295918367347,0.5030283710551482,0.5243096461937805,0.017690813104562175
84,0.17253355979919432,0.05270133183486407,0.0009432792663574219,0.00011089684418559388,0.001,"(50,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.4440203562340967,0.4669211195928753,0.454661558109834,0.4462915601023018,0.4647887323943662,0.4553343542623788,0.00931889563002244,129,0.4651979565772669,0.45753512132822477,0.45773524720893144,0.4588647959183674,0.4539368823716927,0.4586540006808966,0.003666469623408604
85,0.2664941310882568,0.047407617786473816,0.0008869171142578125,4.05451806439997e-06,0.001,"(50,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",0.4262086513994911,0.45674300254452926,0.4661558109833972,0.44884910485933505,0.4737516005121639,0.4543134252169474,0.01639963403500094,135,0.4671136653895275,0.45146871008939976,0.4602870813397129,0.45918367346938777,0.4529805546700669,0.45820673699161896,0.005609449155966093
86,0.3757826328277588,0.047627028292760984,0.0008596420288085937,1.0498650527942205e-05,0.001,"(50,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",0.44529262086513993,0.4770992366412214,0.4840357598978289,0.5038363171355499,0.5032010243277849,0.4826442062276672,0.021454877922922288,112,0.4604086845466156,0.49361430395913153,0.47432216905901115,0.4945790816326531,0.5087663372649027,0.4863381152924628,0.016974097509246444
87,0.4047101974487305,0.07230521024015954,0.0009096145629882812,3.0317770002529594e-05,0.001,"(50,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",0.4592875318066158,0.48346055979643765,0.44699872286079184,0.4731457800511509,0.4532650448143406,0.46324655436447165,0.013315132592145578,117,0.48531289910600256,0.4948914431673052,0.45996810207336525,0.4760841836734694,0.46477526299011795,0.4762063782020521,0.012856339400098497
88,0.4880208492279053,0.04434507969372111,0.0008757591247558593,2.6625879846710625e-05,0.001,"(50,)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 20}",0.4707379134860051,0.4961832061068702,0.4878671775223499,0.48081841432225064,0.499359795134443,0.4869831546707504,0.010401890520612914,109,0.5067049808429118,0.4901021711366539,0.49984051036682614,0.46619897959183676,0.5132291998724896,0.49521516836214363,0.016407296316829186
89,0.6400204181671143,0.1064328067416,0.0008997917175292969,2.9065561943807808e-05,0.001,"(50,)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 25}",0.5203562340966921,0.4961832061068702,0.4955300127713921,0.5396419437340153,0.5032010243277849,0.510974987238387,0.01689058450085348,60,0.5290549169859514,0.49648786717752236,0.48995215311004786,0.5334821428571429,0.5116353203697801,0.512122480100089,0.017199677070663034
90,0.7661567687988281,0.10172830419573002,0.0009505748748779297,4.8172354432533465e-05,0.001,"(50,)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 30}",0.5114503816793893,0.49236641221374045,0.541507024265645,0.5191815856777494,0.5505761843790012,0.5229709035222052,0.020927540964060035,22,0.5201149425287356,0.4891443167305236,0.5518341307814992,0.5204081632653061,0.5428753586228882,0.5248753823857906,0.02177200104153617
91,0.6932145595550537,0.11870826933115114,0.0009549617767333985,4.709635425101182e-05,0.001,"(50,)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 35}",0.5267175572519084,0.49363867684478374,0.49936143039591313,0.43861892583120204,0.5249679897567221,0.49668198060234814,0.03188492145507499,101,0.5300127713920817,0.49648786717752236,0.509090909090909,0.43271683673469385,0.5205610455849538,0.4977738859960321,0.03441147741214937
92,0.7232933521270752,0.05278768496893884,0.0009576320648193359,1.068540897020668e-05,0.001,"(50,)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 40}",0.4707379134860051,0.5025445292620865,0.5070242656449553,0.5115089514066496,0.5057618437900128,0.4994895354772843,0.014687822113703366,95,0.5025542784163474,0.5114942528735632,0.5046251993620414,0.5226403061224489,0.5122728721708639,0.510717381789053,0.007055921584983867
