,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
128,5.426377058029175,0.9588482541885506,0.007145007451375325,0.0002775909290050861,0.0001,"(50,)",40,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 40}",0.7839,0.8061,0.8106,0.8002,0.01167133240037313,132,0.8039,0.80605,0.8034,0.80445,0.0011496376240653968
129,7.072651465733846,0.5379862540665276,0.009549697240193685,0.0003105341561311734,0.0001,"(50,)",50,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 50}",0.8025,0.8092,0.8128,0.8081666666666667,0.0042679685513784555,13,0.81115,0.80895,0.80405,0.80805,0.0029676028485406533
130,8.64544908205668,0.6873231974110299,0.010535478591918945,0.0008563102130072581,0.0001,"(50,)",60,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 60}",0.8037,0.8085,0.8093,0.8071666666666667,0.0024729649321322067,23,0.8111,0.8091,0.80335,0.8078500000000001,0.003285067224071186
131,9.222931305567423,0.296803703731555,0.00947133700052897,0.0004934446883428424,0.0001,"(50,)",70,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 70}",0.799,0.8077,0.8152,0.8073,0.006619667665374142,21,0.80995,0.80735,0.8058,0.8077,0.001712211046181701
132,1.154340108235677,0.15292017065658295,0.007155974706013997,0.002672472372168925,0.0001,"(50, 50)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.7788,0.7787,0.7788,0.7787666666666667,4.714045207915031e-05,144,0.7788,0.7784,0.7788,0.7786666666666666,0.00018856180831644423
133,1.7101847330729167,0.33472731108870873,0.006810188293457031,0.0017009215553909986,0.0001,"(50, 50)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.798,0.8028,0.8103,0.8037,0.0050616202939375,100,0.805,0.80255,0.80295,0.8035,0.0010731573354670345
134,3.3594616254170737,0.18101026995402528,0.00915988286336263,0.0008611586299639146,0.0001,"(50, 50)",10,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.8004,0.8042,0.8107,0.8051,0.004252842186898847,68,0.8089,0.8043,0.80255,0.80525,0.0026779967637520713
135,2.8602689107259116,0.05271141090301003,0.00767970085144043,0.0011260315897252914,0.0001,"(50, 50)",15,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.7948,0.8035,0.8092,0.8025,0.005921148537235017,113,0.8058,0.8042,0.80165,0.8038833333333333,0.0017089632984811436
136,4.139530658721924,0.4110625891876075,0.009765386581420898,0.0009387809788413234,0.0001,"(50, 50)",20,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.7974,0.803,0.8137,0.8047,0.006762149559619818,71,0.80785,0.80325,0.8044,0.8051666666666666,0.0019546241468772073
137,4.326282978057861,0.6970128710370613,0.07537929217020671,0.09586554606968532,0.0001,"(50, 50)",25,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.8009,0.8044,0.8118,0.8057,0.004543860326491859,51,0.8086,0.80555,0.8052,0.80645,0.001526979589472836
138,5.527222474416097,1.1242482130041003,0.009387493133544922,0.0015697593073434157,0.0001,"(50, 50)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",0.7964,0.8074,0.8123,0.8053666666666667,0.00664847518023662,62,0.80815,0.80825,0.8059,0.8074333333333333,0.001084998719917357
139,6.18982195854187,1.0679672414307482,0.01108400026957194,0.0012677497676041214,0.0001,"(50, 50)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",0.8022,0.8072,0.8121,0.8071666666666667,0.004041726803676322,23,0.81265,0.8075,0.8034,0.8078500000000001,0.0037843977944537763
140,5.8690329392751055,0.6219119155535673,0.010614315668741861,0.0017745444853820146,0.0001,"(50, 50)",40,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",0.7975,0.8043,0.8125,0.8047666666666666,0.006132608652840074,70,0.80935,0.803,0.80435,0.8055666666666667,0.0027314017565263997
141,6.607214450836182,0.5219811146680967,0.010109663009643555,0.0016424199709068803,0.0001,"(50, 50)",50,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 50}",0.7973,0.8041,0.8113,0.8042333333333334,0.005716253629393609,86,0.8073,0.80465,0.80395,0.8053,0.001442798207188605
142,8.098152081171671,1.362652601292286,0.012876272201538086,0.0019238154851146795,0.0001,"(50, 50)",60,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 60}",0.8003,0.8053,0.8134,0.8063333333333333,0.005397736150976218,42,0.81165,0.807,0.8054,0.8080166666666667,0.002650890835591337
143,8.908402045567831,0.611575913023341,0.01251069704691569,0.0015689415501821315,0.0001,"(50, 50)",70,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 70}",0.7992,0.8063,0.8107,0.8054,0.0047377913278938855,61,0.80745,0.80685,0.8032,0.8058333333333333,0.0018780900463561778
