,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
31,2.385560083389282,0.5290807807053166,0.0067482471466064455,0.00031180649032999175,0.01,"(50, 50)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.7975337443759374,0.8023333333333333,0.8045,0.8136666666666666,0.8121353558926487,0.8060333333333334,0.006062877458272734,15,0.8081170048752031,0.8054166666666667,0.8065416666666667,0.8041666666666667,0.8038831715345194,0.8056250352819445,0.001565533223003408
32,1.8392043590545655,0.5379913268299701,0.006819629669189453,0.0007245583940497601,0.01,"(50, 50)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.7937010498250292,0.8033333333333333,0.803,0.8131666666666667,0.8113018836472745,0.8049,0.006939984056735865,48,0.8055335638984957,0.8059166666666666,0.8060416666666667,0.804625,0.8062580725803091,0.8056749939624277,0.000575382486135427
33,3.5185880184173586,1.036756847655485,0.006677484512329102,0.0005855209187843929,0.01,"(50, 50)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.7943676053991001,0.7983333333333333,0.8053333333333333,0.8131666666666667,0.8118019669944991,0.8046,0.007345416259411856,53,0.8113671402975124,0.8101666666666667,0.8089583333333333,0.8033333333333333,0.8066330569559602,0.8080917061173611,0.002847972682768347
34,3.3585679054260256,1.6651400484728696,0.006511497497558594,0.0009684021665599088,0.01,"(50, 50)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",0.7982002999500083,0.7985,0.805,0.8143333333333334,0.8133022170361727,0.8058666666666666,0.0069392290958958545,23,0.8112004666861119,0.8105,0.808375,0.8039583333333333,0.804799800008333,0.8077667200055558,0.002930456062150819
35,3.8756665706634523,1.529321360746586,0.006466007232666016,0.00026483308250595613,0.01,"(50, 50)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",0.7940343276120646,0.8005,0.8055,0.8185,0.8139689948324721,0.8065,0.008856584816675962,6,0.8110337930747115,0.8092083333333333,0.8116666666666666,0.807875,0.8070080413316112,0.8093583668812645,0.0017822580277987842
36,1.1403671264648438,0.3208186472279296,0.005485820770263672,0.001025839555035758,0.001,"(100,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 2}",0.7973671054824196,0.8003333333333333,0.7995,0.8101666666666667,0.81080180030005,0.8036333333333333,0.005679954204102387,62,0.8076169840410017,0.8030833333333334,0.8035,0.8011666666666667,0.8034248572976126,0.8037583682677228,0.002109003971845926
37,1.0858715534210206,0.37587166508947023,0.005519056320190429,0.0012414585094166536,0.001,"(100,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 3}",0.7947008831861356,0.8018333333333333,0.801,0.8111666666666667,0.8111351891981997,0.8039666666666667,0.006363024839179952,59,0.8057835743155964,0.8043333333333333,0.8045416666666667,0.8015,0.8034665222282404,0.8039250193087675,0.001420713851612438
38,1.5249289512634276,0.166123318800385,0.006791067123413086,0.0008524345792514787,0.001,"(100,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 4}",0.7977003832694551,0.8026666666666666,0.8048333333333333,0.814,0.8101350225037506,0.8058666666666666,0.0056986667420533465,23,0.8089087045293554,0.8085833333333333,0.8056666666666666,0.8032916666666666,0.805174784383984,0.8063250311160012,0.0021322808626834766
39,2.3147204875946046,0.3361042590860498,0.0064544200897216795,0.0007273451094101779,0.001,"(100,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 5}",0.7955340776537244,0.8011666666666667,0.8063333333333333,0.8125,0.809801633605601,0.8050666666666667,0.006088849850038782,44,0.8112838034918122,0.8095416666666667,0.8073333333333333,0.8037916666666667,0.8056747635515187,0.8075250467419994,0.0026680868399569565
40,1.942790412902832,0.764977642699928,0.006656837463378906,0.000750701268109886,0.001,"(100,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 6}",0.7940343276120646,0.8023333333333333,0.8048333333333333,0.815,0.8159693282213702,0.8064333333333333,0.00821509325387395,7,0.8024084336847369,0.8088333333333333,0.8065416666666667,0.8054166666666667,0.8072580309153785,0.8060916262533565,0.0021494870021841516
41,1.886963176727295,0.5020577663308358,0.006845617294311523,0.0009779358242171508,0.001,"(100,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 7}",0.7980336610564905,0.8013333333333333,0.8051666666666667,0.8116666666666666,0.8141356892815469,0.8060666666666667,0.0060698048218902284,14,0.810867119463311,0.8093333333333333,0.8089583333333333,0.80275,0.8065080621640764,0.8076833696588108,0.0028356184233392645
42,1.2176703453063964,0.3768090588553864,0.003049421310424805,0.00044603212179777566,0.001,"(50,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",0.7970338276953841,0.8025,0.8023333333333333,0.8103333333333333,0.8104684114019003,0.8045333333333333,0.005178526505553169,54,0.8076169840410017,0.8059166666666666,0.8064166666666667,0.8015,0.80288321319945,0.8048667061147569,0.0022951155854486526
43,1.5958161354064941,0.6315250580512606,0.004133844375610351,0.00047611507578976237,0.001,"(50,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 3}",0.7958673554407599,0.801,0.8033333333333333,0.8141666666666667,0.8124687447907984,0.8053666666666667,0.0069473057017831845,34,0.8062835951497979,0.8063333333333333,0.8064166666666667,0.804,0.8038415066038915,0.8053750203507379,0.0011892219609724538
44,1.0630860805511475,0.6011363655272592,0.003953695297241211,0.0006758554706753121,0.001,"(50,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 4}",0.7937010498250292,0.8025,0.7988333333333333,0.8086666666666666,0.8076346057676279,0.8022666666666667,0.005567660372697708,69,0.8032834701445893,0.8062083333333333,0.80275,0.7992083333333333,0.8041748260489147,0.8031249925720341,0.0022853925151558713
45,0.8457304000854492,0.21713097786939742,0.003417205810546875,0.0004445219467276578,0.001,"(50,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 5}",0.793867688718547,0.799,0.8003333333333333,0.8038333333333333,0.808634772462077,0.8011333333333334,0.004930349104248971,72,0.8055752323013459,0.8045833333333333,0.803125,0.7961666666666667,0.8038831715345194,0.8026666807671731,0.0033488302046925946
46,1.3702226638793946,0.4915082786687897,0.0038541316986083984,0.0005312927790799663,0.001,"(50,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 6}",0.7955340776537244,0.8025,0.801,0.8133333333333334,0.8138023003833972,0.8052333333333334,0.007190388315797697,39,0.8070336264011,0.8076666666666666,0.8046666666666666,0.8039583333333333,0.8065497270947044,0.8059750040324942,0.0014206630675201383
47,1.6886107921600342,0.4523134755300008,0.003538846969604492,0.0004786451633696376,0.001,"(50,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 7}",0.7973671054824196,0.8023333333333333,0.8061666666666667,0.8173333333333334,0.8143023837306218,0.8075,0.007404377663394179,1,0.8110754614775616,0.80875,0.808625,0.8071666666666667,0.8070080413316112,0.8085250338951679,0.0014636742662782305
48,1.2420285224914551,0.07842058028213478,0.0053710460662841795,0.0013124969362860845,0.001,"(50, 50)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.7962006332277953,0.8026666666666666,0.8025,0.8118333333333333,0.8126354392398734,0.8051666666666667,0.0062286752384667615,42,0.8072003000125005,0.8055416666666667,0.8067083333333334,0.8030833333333334,0.8045498104245656,0.8054166887540799,0.0014873641031450846
49,1.734922504425049,0.5815540712056667,0.0061643123626708984,0.0009097603245981759,0.001,"(50, 50)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.7975337443759374,0.8021666666666667,0.8046666666666666,0.8118333333333333,0.8118019669944991,0.8056,0.005568601998247732,29,0.808408683695154,0.8054583333333334,0.8067083333333334,0.8015833333333333,0.8036331819507521,0.8051583731291811,0.002373351605070715
50,1.3057001113891602,0.2872121955646201,0.005588626861572266,0.00019797441569579963,0.001,"(50, 50)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.7940343276120646,0.8038333333333333,0.803,0.8135,0.8113018836472745,0.8051333333333334,0.006891956945373926,43,0.805283553481395,0.8059583333333333,0.8057083333333334,0.8045833333333333,0.8066330569559602,0.8056333220874711,0.0006834534754945495
51,2.020002317428589,1.1074836007821358,0.005777978897094726,0.0005371174393462989,0.001,"(50, 50)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.7957007165472422,0.7973333333333333,0.8055,0.8131666666666667,0.8083013835639273,0.804,0.006604704757211754,58,0.8067002791782991,0.810875,0.809375,0.80325,0.8045081454939378,0.8069416849344474,0.0028635962779690618
52,2.310188722610474,0.6134839375495252,0.005867910385131836,0.0004216483200509135,0.001,"(50, 50)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",0.7980336610564905,0.8,0.8053333333333333,0.8155,0.8131355225870979,0.8064,0.006932168121791313,8,0.8110754614775616,0.8094166666666667,0.8082083333333333,0.8066666666666666,0.8048831298695888,0.8080500516027633,0.002144245410167375
53,3.11474404335022,1.3367775891929883,0.0061530590057373045,0.0006508968407632954,0.001,"(50, 50)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",0.7967005499083486,0.8001666666666667,0.8038333333333333,0.8173333333333334,0.8131355225870979,0.8062333333333334,0.007801228446735553,11,0.8111587982832618,0.811875,0.8119166666666666,0.8084583333333333,0.8055914336902629,0.8098000463947048,0.002455375139139003
54,1.080705451965332,0.33087314247132255,0.0055199146270751955,0.0009500682651445042,0.0001,"(100,)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 2}",0.7973671054824196,0.8003333333333333,0.7995,0.8101666666666667,0.8109684947491248,0.8036666666666666,0.005722256803832389,61,0.8075753156381515,0.8030833333333334,0.8035,0.8010416666666667,0.8034248572976126,0.8037250345871527,0.002124977884030718
55,1.0472891330718994,0.2703618987057919,0.0059244632720947266,0.001141964546467418,0.0001,"(100,)",3,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 3}",0.7955340776537244,0.8018333333333333,0.801,0.8113333333333334,0.8111351891981997,0.8041666666666667,0.006163108948466203,55,0.8037418225759406,0.8043333333333333,0.8045416666666667,0.8015416666666667,0.8034665222282404,0.8035250022941696,0.0010649935848821923
56,1.7648601531982422,0.555155014175491,0.006928873062133789,0.0011090021219004583,0.0001,"(100,)",4,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 4}",0.7977003832694551,0.8026666666666666,0.8041666666666667,0.8141666666666667,0.8111351891981997,0.8059666666666667,0.005940067384544631,18,0.8088253677236551,0.809125,0.80525,0.8035,0.8053414441064956,0.8064083623660302,0.002198214026376536
57,2.0794408321380615,0.2587849364749645,0.006704568862915039,0.0010674189316015046,0.0001,"(100,)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 5}",0.7988668555240793,0.8011666666666667,0.8063333333333333,0.8125,0.809801633605601,0.8057333333333333,0.005112864293282179,26,0.8097004041835076,0.8094583333333333,0.8074166666666667,0.8037916666666667,0.8057580934127745,0.8072250328525898,0.0022401666218673363
58,1.717095136642456,0.6540040309205835,0.007001161575317383,0.001195644438308019,0.0001,"(100,)",6,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 6}",0.7940343276120646,0.8018333333333333,0.805,0.8148333333333333,0.8114685780963494,0.8054333333333333,0.007319629418025957,32,0.8024084336847369,0.8087916666666667,0.8065416666666667,0.8054583333333334,0.8045081454939378,0.8055416491690683,0.0021191866070002017
59,1.9349499225616456,0.6059453817896209,0.007270002365112304,0.0015253230110494778,0.0001,"(100,)",7,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 7}",0.7978670221629728,0.8021666666666667,0.8063333333333333,0.8115,0.8138023003833972,0.8063333333333333,0.005856997490350718,10,0.8119088295345639,0.8102916666666666,0.8090416666666667,0.8026666666666666,0.8064663972334486,0.8080750453536025,0.0032367878135697004
60,1.1793152332305907,0.33992708936333993,0.0032208919525146484,0.0004503679022829232,0.0001,"(50,)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",0.798366938843526,0.8025,0.8023333333333333,0.8103333333333333,0.8104684114019003,0.8048,0.004806431693422606,52,0.8071586316096504,0.8059166666666666,0.8065833333333333,0.8015,0.80288321319945,0.8048083689618201,0.0022160364046385677
